_time;_value;_field;_time;_value;_field
2022-03-03T18:50:08.7Z;1.14;Accelerazione_Media_DX;;;
2022-03-03T18:50:08.9Z;1.18;Accelerazione_Media_DX;;;
2022-03-03T18:50:09.2Z;1.16;Accelerazione_Media_DX;;;
2022-03-03T18:50:09.4Z;1.15;Accelerazione_Media_DX;;;
2022-03-03T18:50:09.7Z;1.17;Accelerazione_Media_DX;;;
2022-03-03T18:50:12.7Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:10.9Z;0.46;Accelerazione_Media_SX
2022-03-03T18:50:13Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:11.2Z;0.45;Accelerazione_Media_SX
2022-03-03T18:50:13.2Z;1.15;Accelerazione_Media_DX;2022-03-03T18:50:11.8Z;0.46;Accelerazione_Media_SX
2022-03-03T18:50:13.5Z;1.18;Accelerazione_Media_DX;2022-03-03T18:50:14.8Z;0.47;Accelerazione_Media_SX
2022-03-03T18:50:13.7Z;1.18;Accelerazione_Media_DX;2022-03-03T18:50:15Z;0.46;Accelerazione_Media_SX
2022-03-03T18:50:14Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:18.3Z;0.47;Accelerazione_Media_SX
2022-03-03T18:50:14.2Z;1.16;Accelerazione_Media_DX;2022-03-03T18:50:18.6Z;0.46;Accelerazione_Media_SX
2022-03-03T18:50:17.2Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:18.8Z;0.47;Accelerazione_Media_SX
2022-03-03T18:50:20.2Z;1.18;Accelerazione_Media_DX;2022-03-03T18:50:21.3Z;0.45;Accelerazione_Media_SX
2022-03-03T18:50:20.5Z;1.16;Accelerazione_Media_DX;2022-03-03T18:50:21.5Z;0.48;Accelerazione_Media_SX
2022-03-03T18:50:21Z;1.16;Accelerazione_Media_DX;2022-03-03T18:50:21.8Z;0.45;Accelerazione_Media_SX
2022-03-03T18:50:21.3Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:22Z;0.43;Accelerazione_Media_SX
2022-03-03T18:50:21.5Z;1.14;Accelerazione_Media_DX;2022-03-03T18:50:25.3Z;0.47;Accelerazione_Media_SX
2022-03-03T18:50:27.2Z;1.18;Accelerazione_Media_DX;2022-03-03T18:50:25.7Z;0.46;Accelerazione_Media_SX
2022-03-03T18:50:27.5Z;1.12;Accelerazione_Media_DX;2022-03-03T18:50:25.9Z;0.49;Accelerazione_Media_SX
2022-03-03T18:50:27.7Z;1.14;Accelerazione_Media_DX;2022-03-03T18:50:26.2Z;0.42;Accelerazione_Media_SX
2022-03-03T18:50:28Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:26.4Z;0.49;Accelerazione_Media_SX
2022-03-03T18:50:28.2Z;1.16;Accelerazione_Media_DX;2022-03-03T18:50:26.7Z;0.5;Accelerazione_Media_SX
2022-03-03T18:50:29.5Z;1.13;Accelerazione_Media_DX;2022-03-03T18:50:26.9Z;0.41;Accelerazione_Media_SX
2022-03-03T18:50:29.7Z;1.16;Accelerazione_Media_DX;2022-03-03T18:50:27.1Z;0.45;Accelerazione_Media_SX
2022-03-03T18:50:30Z;1.16;Accelerazione_Media_DX;2022-03-03T18:50:27.4Z;0.44;Accelerazione_Media_SX
2022-03-03T18:50:30.2Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:27.6Z;0.49;Accelerazione_Media_SX
2022-03-03T18:50:30.5Z;1.18;Accelerazione_Media_DX;2022-03-03T18:50:27.8Z;0.5;Accelerazione_Media_SX
2022-03-03T18:50:30.7Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:31.8Z;0.47;Accelerazione_Media_SX
2022-03-03T18:50:30.9Z;1.15;Accelerazione_Media_DX;2022-03-03T18:50:32Z;0.46;Accelerazione_Media_SX
2022-03-03T18:50:31.1Z;1.14;Accelerazione_Media_DX;2022-03-03T18:50:34.9Z;0.42;Accelerazione_Media_SX
2022-03-03T18:50:31.4Z;1.16;Accelerazione_Media_DX;2022-03-03T18:50:35.2Z;0.52;Accelerazione_Media_SX
2022-03-03T18:50:31.6Z;1.19;Accelerazione_Media_DX;2022-03-03T18:50:35.4Z;0.5;Accelerazione_Media_SX
2022-03-03T18:50:31.9Z;1.16;Accelerazione_Media_DX;2022-03-03T18:50:35.6Z;0.49;Accelerazione_Media_SX
2022-03-03T18:50:32.1Z;1.16;Accelerazione_Media_DX;2022-03-03T18:50:35.9Z;0.44;Accelerazione_Media_SX
2022-03-03T18:50:32.3Z;1.16;Accelerazione_Media_DX;2022-03-03T18:50:36.1Z;0.45;Accelerazione_Media_SX
2022-03-03T18:50:32.6Z;1.15;Accelerazione_Media_DX;2022-03-03T18:50:36.3Z;0.46;Accelerazione_Media_SX
2022-03-03T18:50:32.8Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:36.6Z;0.44;Accelerazione_Media_SX
2022-03-03T18:50:33.1Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:36.8Z;0.52;Accelerazione_Media_SX
2022-03-03T18:50:33.3Z;1.19;Accelerazione_Media_DX;2022-03-03T18:50:37.1Z;0.46;Accelerazione_Media_SX
2022-03-03T18:50:33.5Z;1.16;Accelerazione_Media_DX;2022-03-03T18:50:37.3Z;0.47;Accelerazione_Media_SX
2022-03-03T18:50:33.8Z;1.13;Accelerazione_Media_DX;2022-03-03T18:50:37.6Z;0.48;Accelerazione_Media_SX
2022-03-03T18:50:34Z;1.14;Accelerazione_Media_DX;2022-03-03T18:50:37.8Z;0.46;Accelerazione_Media_SX
2022-03-03T18:50:34.2Z;1.12;Accelerazione_Media_DX;2022-03-03T18:50:38.1Z;0.47;Accelerazione_Media_SX
2022-03-03T18:50:34.5Z;1.07;Accelerazione_Media_DX;2022-03-03T18:50:43.3Z;-1.99;Accelerazione_Media_SX
2022-03-03T18:50:34.7Z;1.23;Accelerazione_Media_DX;2022-03-03T18:50:46.4Z;3.45;Accelerazione_Media_SX
2022-03-03T18:50:34.9Z;1.14;Accelerazione_Media_DX;2022-03-03T18:50:46.7Z;5.68;Accelerazione_Media_SX
2022-03-03T18:50:37.7Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:46.9Z;1.97;Accelerazione_Media_SX
2022-03-03T18:50:38Z;1.18;Accelerazione_Media_DX;2022-03-03T18:50:47.2Z;-3.22;Accelerazione_Media_SX
2022-03-03T18:50:43.2Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:47.4Z;1.63;Accelerazione_Media_SX
2022-03-03T18:50:46.2Z;1.17;Accelerazione_Media_DX;2022-03-03T18:50:47.6Z;0.92;Accelerazione_Media_SX
2022-03-03T18:50:48.8Z;2;Accelerazione_Media_DX;2022-03-03T18:50:47.9Z;0.1;Accelerazione_Media_SX
2022-03-03T18:50:49.4Z;1.27;Accelerazione_Media_DX;2022-03-03T18:50:48.1Z;-4.04;Accelerazione_Media_SX
2022-03-03T18:50:49.6Z;1.19;Accelerazione_Media_DX;2022-03-03T18:50:48.4Z;3.7;Accelerazione_Media_SX
2022-03-03T18:50:49.9Z;-3.04;Accelerazione_Media_DX;2022-03-03T18:50:50.8Z;6.84;Accelerazione_Media_SX
2022-03-03T18:50:50.1Z;1.56;Accelerazione_Media_DX;2022-03-03T18:50:51Z;-6.62;Accelerazione_Media_SX
2022-03-03T18:50:50.3Z;5.22;Accelerazione_Media_DX;2022-03-03T18:50:51.3Z;2.87;Accelerazione_Media_SX
2022-03-03T18:50:50.6Z;5.54;Accelerazione_Media_DX;2022-03-03T18:50:51.5Z;0.48;Accelerazione_Media_SX
2022-03-03T18:50:50.8Z;1.49;Accelerazione_Media_DX;2022-03-03T18:50:51.7Z;0.8;Accelerazione_Media_SX
2022-03-03T18:50:51Z;-5.84;Accelerazione_Media_DX;2022-03-03T18:50:51.9Z;0.75;Accelerazione_Media_SX
2022-03-03T18:50:51.3Z;1.45;Accelerazione_Media_DX;2022-03-03T18:50:52.1Z;0.29;Accelerazione_Media_SX
2022-03-03T18:50:51.5Z;1.05;Accelerazione_Media_DX;2022-03-03T18:50:52.4Z;-5.84;Accelerazione_Media_SX
2022-03-03T18:50:53.9Z;-4.77;Accelerazione_Media_DX;2022-03-03T18:50:52.6Z;4.5;Accelerazione_Media_SX
2022-03-03T18:50:56.9Z;6.94;Accelerazione_Media_DX;2022-03-03T18:50:55.8Z;2.2;Accelerazione_Media_SX
2022-03-03T18:50:57.1Z;4.14;Accelerazione_Media_DX;2022-03-03T18:50:56Z;0.11;Accelerazione_Media_SX
2022-03-03T18:50:57.4Z;-0.26;Accelerazione_Media_DX;2022-03-03T18:50:58.9Z;7.18;Accelerazione_Media_SX
2022-03-03T18:50:57.6Z;-4.36;Accelerazione_Media_DX;2022-03-03T18:50:59.2Z;1.33;Accelerazione_Media_SX
2022-03-03T18:50:57.8Z;1.53;Accelerazione_Media_DX;2022-03-03T18:50:59.4Z;-5.46;Accelerazione_Media_SX
2022-03-03T18:50:58.1Z;0.98;Accelerazione_Media_DX;2022-03-03T18:51:02.3Z;0.48;Accelerazione_Media_SX
2022-03-03T18:50:59.4Z;-2.17;Accelerazione_Media_DX;2022-03-03T18:51:02.9Z;1.92;Accelerazione_Media_SX
2022-03-03T18:50:59.6Z;3.19;Accelerazione_Media_DX;2022-03-03T18:51:03.1Z;-5.79;Accelerazione_Media_SX
2022-03-03T18:50:59.9Z;1.45;Accelerazione_Media_DX;2022-03-03T18:51:03.4Z;2.61;Accelerazione_Media_SX
