_time;_value;_field;_time;_value;_field;;_time;_value;_field;_time;_value;_field
;;;2022-05-09T16:50:23.5Z;13.87;Accelerazione_Max_SX;;;;;2022-05-09T16:50:23Z;10.31;Accelerazione_Media_SX
;;;2022-05-09T16:50:24.6Z;12.05;Accelerazione_Max_SX;;;;;2022-05-09T16:50:24.1Z;10.48;Accelerazione_Media_SX
;;;2022-05-09T16:50:25.9Z;10.91;Accelerazione_Max_SX;;;;;2022-05-09T16:50:25.4Z;10.35;Accelerazione_Media_SX
;;;2022-05-09T16:50:27.2Z;14.09;Accelerazione_Max_SX;;;;;2022-05-09T16:50:26.7Z;11.65;Accelerazione_Media_SX
;;;2022-05-09T16:50:28.1Z;12.41;Accelerazione_Max_SX;;;;;2022-05-09T16:50:27.8Z;11.12;Accelerazione_Media_SX
;;;2022-05-09T16:50:29.3Z;11.61;Accelerazione_Max_SX;;;;;2022-05-09T16:50:28.8Z;10.24;Accelerazione_Media_SX
;;;2022-05-09T16:50:30.5Z;12.6;Accelerazione_Max_SX;;;;;2022-05-09T16:50:29.9Z;11.26;Accelerazione_Media_SX
;;;2022-05-09T16:50:31.9Z;13.82;Accelerazione_Max_SX;;;;;2022-05-09T16:50:31.4Z;10.38;Accelerazione_Media_SX
;;;2022-05-09T16:50:33Z;10.57;Accelerazione_Max_SX;;;;;2022-05-09T16:50:32.6Z;10.26;Accelerazione_Media_SX
;;;2022-05-09T16:50:34.1Z;10.38;Accelerazione_Max_SX;;;;;2022-05-09T16:50:33.9Z;10.26;Accelerazione_Media_SX
;;;2022-05-09T16:50:34.9Z;10.65;Accelerazione_Max_SX;;;;;2022-05-09T16:50:34.5Z;10.28;Accelerazione_Media_SX
;;;2022-05-09T16:50:36.1Z;13.62;Accelerazione_Max_SX;;;;;2022-05-09T16:50:35.6Z;10.44;Accelerazione_Media_SX
;;;2022-05-09T16:50:37.2Z;10.32;Accelerazione_Max_SX;;;;;2022-05-09T16:50:36.7Z;10.08;Accelerazione_Media_SX
;;;2022-05-09T16:50:38.2Z;10.23;Accelerazione_Max_SX;;;;;2022-05-09T16:50:37.9Z;10.18;Accelerazione_Media_SX
;;;2022-05-09T16:50:39.4Z;10.23;Accelerazione_Max_SX;;;;;2022-05-09T16:50:38.9Z;10.17;Accelerazione_Media_SX
;;;2022-05-09T16:50:40.7Z;10.24;Accelerazione_Max_SX;;;;;2022-05-09T16:50:40.2Z;10.2;Accelerazione_Media_SX
